id,type,text1,text2,text3,text4,notes
Ancient_Atropos,SHIP,"The Atropos-class frigate is outfitted with all the regular types of weapons and shields of the Ancients, but in a smaller and easier to manufacture hull.",,,,
Ancient_Aurora,SHIP,"The Aurora-class is one of the most combat-capable class of ships the Ancients ever produced. Bringing a strong shield and a large amount of turrets and drones to the fray to destroy all who threaten them.",,,,
Ancient_Caelus,SHIP,"The Caelus cruiser was the Ancients' answer to the Wraith Cruiser. Bringing capable shields and weapons in a more maneuverable hull capable of supporting the slower Aurora-class ships.",,,,
Ancient_Destiny,SHIP,"The design is clearly Ancient, in the truest sense of the word. Launched hundreds of thousands of years ago. Faster than light, yet not through hyperspace. Who knows how far it's traveled",,,,
Ancient_Seedship,SHIP,"Seedships are spaceships made by the Ancients hundreds of thousands years ago. A minimum of 2,000 years before launching the Destiny, the Ancients sent out several of these ships to make a path for the Destiny across the universe.",,,,
Goa'uld_Anubis,SHIP,"The Anubis-class was created by mixing technology of the Ancients and Goa'uld into a single ship by Anubis. This allowed the ship to have stronger shields and a powerful super weapon capable of severely damaging or even outright destroying ships.",,,,
Goa'uld_Apophis,SHIP,"The Apophis-class was flown by Goa'uld system lords as a display of their status, as well as having stronger shields, weapons, and more wings than the smaller vessels the Goa'uld more commonly used.",,,,
Goa'uld_Ha'tak,SHIP,"The Ha'tak-class was one of the most common vessels in any Goa'uld fleet. With enough space for multiple wings of fighters, as well as plenty of weapons and shield power needed to subjugate the weaker factions.",,,,
Goa'uld_Ha'tel,SHIP,"The Ha'tel-class is similar in design to the Ha'tak-class, but even larger and benefitting from some of the same Ancient-technologies as the Anubis-class.",,,,
Goa'uld_Hok'kesh,SHIP,"The Hok'kesh-class was often used to support larger Goa'uld vessels, bringing a smaller array of weapons and wings but with more maneuverability to prevent the enemy from flanking their fleet.",,,,
Ori_Deliverance,SHIP,"The message from the Ori just before the battle started at the Supergate near P3Y-229: 'And those who are prideful, and refuse to bow down, shall be laid low and made onto dust'. The Ori's Deliverance-class ships are one of the strongest in the entire universe. Their beam weapon can instantly destroy weaker vessels and severly damage the shields of larger vessels. While the beam weapon can only be fired in a single direction, their flanks are protected by capable turrets and very strong shields.",,,,
Replicator_Destroyer,SHIP,"The Replicators are a highly-advanced machine race from P3S-517 in the Milky Way galaxy and are capable of reproducing themselves indefinitely, consuming all available resources in an area to create more of themselves.",,,,
Replicator_Samantha,SHIP,"The Replicators are a highly-advanced machine race from P3S-517 in the Milky Way galaxy and are capable of reproducing themselves indefinitely, consuming all available resources in an area to create more of themselves.",,,,
Replicator_Spider,SHIP,"The Replicators are a highly-advanced machine race from P3S-517 in the Milky Way galaxy and are capable of reproducing themselves indefinitely, consuming all available resources in an area to create more of themselves.",,,,
Tau'ri_Concordia,SHIP,"The Tau'ri Concordia is effectively an ship-sized F-302. With its hardpointed medium railguns and missiles it can destroy smaller enemy ships on its own and support allies engaging larger enemy ships. It also brings a railgun to protect against missiles and fighters.",,,,
